Tag_ID,Length,Width,Exterior_Trt,Tissue_Trt,Preserv_Trt,Overall_Trt,Fluid_mL,Vial_Number,Tray,Date,Time_extracted,Time_in_table,Date_Time_Dead,Notes,Time_extracted,Lifespan_days,BlueCrab_Confounding_Deaths
D047,37.1,22.1,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,400,21031,NotchEPF_8-116,7/20/2022,11:13:03 AM,11:55:00 AM,,,7/20/2022 11:13:03,,
D137,48.5,31.4,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21032,NotchEPF_8-116,7/20/2022,11:17:00 AM,11:55:00 AM,,,7/20/2022 11:17:00,,
D118,31.7,21.5,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,180,21033,NotchEPF_8-116,7/20/2022,11:21:55 AM,11:55:00 AM,07/24/2022 9:58:00,,7/20/2022 11:21:55,3.941720556,
D026,27,19,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,180,21034,NotchEPF_8-116,7/20/2022,11:24:23 AM,11:55:00 AM,,,7/20/2022 11:24:23,,
D126,26.7,16.4,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,80,21035,NotchEPF_8-116,7/20/2022,11:26:52 AM,11:55:00 AM,7/22/2022 10:46:00,,7/20/2022 11:26:52,1.971624236,
D136,49.7,35,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21036,NotchEPF_8-116,7/20/2022,11:29:43 AM,11:55:00 AM,,,7/20/2022 11:29:43,,
D143,41.8,22.9,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,320,21037,NotchEPF_8-116,7/20/2022,11:37:13 AM,11:55:00 AM,,,7/20/2022 11:37:13,,
D176,39,26.1,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,100,21038,NotchEPF_8-116,7/20/2022,11:38:49 AM,11:55:00 AM,7/25/2022 9:01 AM,,7/20/2022 11:38:49,4.890401875,
D172,47.1,29.2,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,260,21039,NotchEPF_8-116,7/20/2022,11:46:31 AM,11:55:00 AM,,,7/20/2022 11:46:31,,
D170,46.1,18.3,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,440,21040,NotchEPF_8-116,7/20/2022,11:47:08 AM,11:55:00 AM,,,7/20/2022 11:47:08,,
D145,52.2,31.9,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22021,NotchEPFFTA_11-136,7/20/2022,2:11:56 PM,3:10:00 PM,,,7/20/2022 14:11:56,,
D181,43,23.3,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"100,100",22022,NotchEPFFTA_11-136,7/20/2022,2:13:31 PM,3:10:00 PM,,,7/20/2022 14:13:31,,
D153,49.1,23.8,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"100,80",22023,NotchEPFFTA_11-136,7/20/2022,2:17:58 PM,3:10:00 PM,,,7/20/2022 14:17:58,,
D144,30.1,20.8,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"80,30",22024,NotchEPFFTA_11-136,7/20/2022,2:18:42 PM,3:10:00 PM,7/23/2022 9:41:00,,7/20/2022 14:18:42,2.807153565,
D154,33.4,22.1,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22025,NotchEPFFTA_11-136,7/20/2022,2:21:54 PM,3:10:00 PM,,,7/20/2022 14:21:54,,YES
D152,58.2,38.5,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22026,NotchEPFFTA_11-136,7/20/2022,2:23:44 PM,3:10:00 PM,,,7/20/2022 14:23:44,,
D191,41.2,22.5,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22027,NotchEPFFTA_11-136,7/20/2022,2:27:07 PM,3:10:00 PM,,,7/20/2022 14:27:07,,
D147,31.2,24.6,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22028,NotchEPFFTA_11-136,7/20/2022,2:29:11 PM,3:10:00 PM,,,7/20/2022 14:29:11,,
D169,46.5,31.9,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22029,NotchEPFFTA_11-136,7/20/2022,2:30:11 PM,3:10:00 PM,,,7/20/2022 14:30:11,,
D146,51.6,30,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22030,NotchEPFFTA_11-136,7/20/2022,2:31:13 PM,3:10:00 PM,,,7/20/2022 14:31:13,,
D155,50.5,27.2,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,125.125,22031,NotchEPFFTA_12-107,7/20/2022,2:33:18 PM,3:10:00 PM,,,7/20/2022 14:33:18,,
D160,44.8,25.4,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22032,NotchEPFFTA_12-107,7/20/2022,2:45:24 PM,3:10:00 PM,,,7/20/2022 14:45:24,,
D173,47.6,24.9,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22034,NotchEPFFTA_12-107,7/20/2022,2:49:54 PM,3:10:00 PM,,,7/20/2022 14:49:54,,
D178,44.9,30.4,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22035,NotchEPFFTA_12-107,7/20/2022,2:51:45 PM,3:10:00 PM,,,7/20/2022 14:51:45,,
D073,49.6,30.5,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22037,NotchEPFFTA_12-107,7/20/2022,2:56:07 PM,3:10:00 PM,,,7/20/2022 14:56:07,,
D043,50,30.9,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22038,NotchEPFFTA_12-107,7/20/2022,2:54:07 PM,3:10:00 PM,,,7/20/2022 14:54:07,,
D001,49.1,28.4,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,125",22039,NotchEPFFTA_12-107,7/20/2022,2:56:42 PM,1:20:00 PM,,,7/20/2022 14:56:42,,YES
D020,50.9,34.2,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,80",22040,NotchEPFFTA_12-107,7/20/2022,3:02:01 PM,3:10:00 PM,07/24/2022 9:58:00,,7/20/2022 15:02:01,3.788880347,
D168,45.4,28,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,0",22033(top),NotchEPFFTA_12-107,7/20/2022,2:48:13 PM,3:10:00 PM,,,7/20/2022 14:48:13,,
D063,51.6,28,Notch,EPF,FTAClassic,Notch_EPF_FTAClassic,"125,0",22036(top),NotchEPFFTA_12-107,7/20/2022,2:52:41 PM,3:10:00 PM,7/23/2022 9:41:00,,7/20/2022 14:52:41,2.78355581,
D018,47.5,30,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21004,NotchHemo_4-158,7/19/2022,3:01:24 PM,4:10:00 PM,,,7/19/2022 15:01:24,,
D077,54.5,45.4,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21005,NotchHemo_4-158,7/19/2022,3:02:16 PM,4:10:00 PM,,,7/19/2022 15:02:16,,
D002,50.3,31,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21006,NotchHemo_4-158,7/19/2022,3:06:50 PM,4:10:00 PM,7/22/2022 10:46:00,,7/19/2022 15:06:50,2.818861204,
D076,50,30.4,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21007,NotchHemo_4-158,7/19/2022,3:13:36 PM,4:10:00 PM,,,7/19/2022 15:13:36,,
D036,39.2,22.3,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,230,21008,NotchHemo_4-158,7/19/2022,3:15:56 PM,4:10:00 PM,7/22/2022 10:46:00,Doesn't look healthy/large hole in shell,7/19/2022 15:15:56,2.812542789,
D027,45.3,27.6,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21013,NotchHemo_4-158,7/19/2022,3:26:15 PM,4:10:00 PM,,,7/19/2022 15:26:15,,
D037,32.4,17.8,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,100,21014,NotchHemo_4-158,7/19/2022,3:27:40 PM,4:10:00 PM,,,7/19/2022 15:27:40,,
D012,38.9,22.1,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21015,NotchHemo_4-158,7/19/2022,3:29:59 PM,4:10:00 PM,,,7/19/2022 15:29:59,,
D011,37.1,34.8,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21016,NotchHemo_4-158,7/19/2022,3:31:20 PM,4:10:00 PM,,,7/19/2022 15:31:20,,
D021,33.3,20.4,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,160,21017,NotchHemo_4-158,7/19/2022,3:33:14 PM,4:10:00 PM,,,7/19/2022 15:33:14,,
D000,51.1,34.8,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21000,NotchHemo_5-137,7/19/2022,2:45:46 PM,4:10:00 PM,,,7/19/2022 14:45:46,,
D006,46.9,29.7,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21001,NotchHemo_5-137,7/19/2022,2:49:03 PM,4:10:00 PM,7/22/2022 10:46:00,,7/19/2022 14:49:03,2.831209676,
D004,44.1,27.9,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,200,21002,NotchHemo_5-137,7/19/2022,2:50:52 PM,4:10:00 PM,,,7/19/2022 14:50:52,,
D067,54.1,38.5,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21003,NotchHemo_5-137,7/19/2022,2:57:17 PM,4:10:00 PM,7/22/2022 10:46:00,,7/19/2022 14:57:17,2.825501134,
D032,47.6,30.6,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21009,NotchHemo_5-137,7/19/2022,3:17:00 PM,4:10:00 PM,,,7/19/2022 15:17:00,,YES
D068,64.6,35.6,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21010,NotchHemo_5-137,7/19/2022,3:19:06 PM,4:10:00 PM,,,7/19/2022 15:19:06,,
D042,54.2,27.4,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21011,NotchHemo_5-137,7/19/2022,3:21:36 PM,4:10:00 PM,7/22/2022 10:46:00,,7/19/2022 15:21:36,2.80860588,
D015,34.1,28.4,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21012,NotchHemo_5-137,7/19/2022,3:24:48 PM,4:10:00 PM,7/25/2022 9:01 AM,,7/19/2022 15:24:48,5.733472153,
D007,41.2,26.6,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21019,NotchHemo_5-137,7/19/2022,3:38:52 PM,4:10:00 PM,,,7/19/2022 15:38:52,,
D005,48.1,28.6,Notch,Hemolymph,FlashFreeze,Notch_Hemolymph_FlashFreeze,250,21020,NotchHemo_5-137,7/19/2022,3:45:02 PM,4:10:00 PM,,,7/19/2022 15:45:02,,
D131,28.4,26.4,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22008,NotchHemoFTA_10-153,7/20/2022,3:41:08 PM,4:07:00 PM,7/22/2022 10:46:00,,7/20/2022 15:41:08,1.795049965,
D057,52.7,31.5,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22009,NotchHemoFTA_10-153,7/20/2022,3:43:34 PM,4:07:00 PM,,,7/20/2022 15:43:34,,
D133,33.9,22,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,30",22010,NotchHemoFTA_10-153,7/20/2022,3:44:30 PM,4:07:00 PM,08/01/2022 8:58:00,,7/20/2022 15:44:30,11.71770922,
D056,49.1,32.4,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22011,NotchHemoFTA_10-153,7/20/2022,3:46:59 PM,4:07:00 PM,,,7/20/2022 15:46:59,,
D116,43.1,27.9,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22012,NotchHemoFTA_10-153,7/20/2022,3:48:38 PM,4:07:00 PM,7/22/2022 10:46:00,,7/20/2022 15:48:38,1.789843553,
D059,42.8,31.6,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22013,NotchHemoFTA_10-153,7/20/2022,3:54:59 PM,4:07:00 PM,,,7/20/2022 15:54:59,,
D039,42.1,21.1,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,75",22014,NotchHemoFTA_10-153,7/20/2022,3:55:46 PM,4:07:00 PM,7/23/2022 9:41:00,,7/20/2022 15:55:46,2.739744086,
D112,41.5,28.5,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22015,NotchHemoFTA_10-153,7/20/2022,4:02:15 PM,4:07:00 PM,,,7/20/2022 16:02:15,,
D128,39.9,23.3,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"0,80",22033(bottom),NotchHemoFTA_10-153,7/20/2022,3:53:01 PM,4:07:00 PM,,,7/20/2022 15:53:01,,
D125,40,23.1,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"0,60",22036(bottom),NotchHemoFTA_10-153,7/20/2022,3:50:46 PM,4:07:00 PM,,,7/20/2022 15:50:46,,
D079,44.5,28.9,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22001,NotchHemoFTA_9-138,7/20/2022,3:20:29 PM,4:07:00 PM,07/24/2022 9:58:00,,7/20/2022 15:20:29,3.776049641,
D045,37.4,28.7,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22002,NotchHemoFTA_9-138,7/20/2022,3:25:22 PM,4:07:00 PM,7/26/2022 18:34:00,,7/20/2022 15:25:22,6.130996181,
D025,49.2,32.1,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22004,NotchHemoFTA_9-138,7/20/2022,3:27:47 PM,4:07:00 PM,,may have gotten EPF,7/20/2022 15:27:47,,
D038,41.5,31.8,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,125",22005,NotchHemoFTA_9-138,7/20/2022,3:30:21 PM,4:07:00 PM,,,7/20/2022 15:30:21,,
D164,40.5,29.7,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,125,22003(bottom),NotchHemoFTA_9-138,7/20/2022,3:38:33 PM,4:07:00 PM,7/22/2022 10:46:00,,7/20/2022 15:38:33,1.796840694,
D139,28.7,20.5,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"100,0",22003(top),NotchHemoFTA_9-138,7/20/2022,3:26:58 PM,4:07:00 PM,7/22/2022 10:46:00,,7/20/2022 15:26:58,1.80488037,
D065,46.2,31.9,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"0, 125",22006(bottom),NotchHemoFTA_9-138,7/20/2022,3:37:18 PM,4:07:00 PM,,,7/20/2022 15:37:18,,
D029,21.2,35.2,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,0",22006(top),NotchHemoFTA_9-138,7/20/2022,3:31:31 PM,4:07:00 PM,,,7/20/2022 15:31:31,,
D127,34.3,24.5,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"0, 100",22007(bottom),NotchHemoFTA_9-138,7/20/2022,3:39:08 PM,4:07:00 PM,,,7/20/2022 15:39:08,,
D046,40.1,22.4,Notch,Hemolymph,FTAClassic,Notch_Hemolymph_FTAClassic,"125,0",22007(top),NotchHemoFTA_9-138,7/20/2022,3:37:20 PM,4:07:00 PM,7/22/2022 10:46:00,,7/20/2022 15:37:20,1.79768794,
D187,49.1,32.5,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20068,RelaxMantle_15_129,7/21/2022,1:37:33 PM,2:15:00 PM,,,7/21/2022 13:37:33,,
D075,52.5,35,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20071,RelaxMantle_15_129,7/21/2022,1:39:45 PM,2:15:00 PM,,peacrav ,7/21/2022 13:39:45,,YES
D150,32.3,23.3,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20073,RelaxMantle_15_129,7/21/2022,1:41:28 PM,2:15:00 PM,7/22/2022 10:46:00,looks goopy inside,7/21/2022 13:41:28,0.8781485069,
D142,31.1,23.2,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20077,RelaxMantle_15_129,7/21/2022,1:45:01 PM,2:15:00 PM,,very large piece of mantle pulle dout,7/21/2022 13:45:01,,
D069,46.5,32.4,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20080,RelaxMantle_15_129,7/21/2022,1:54:41 PM,2:15:00 PM,,,7/21/2022 13:54:41,,
D074,47.4,27.6,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20081,RelaxMantle_15_129,7/21/2022,1:55:43 PM,2:15:00 PM,7/27/2022 16:05:00,,7/21/2022 13:55:43,6.089774711,
D080,35.4,23.2,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20081,RelaxMantle_15_129,7/21/2022,1:57:26 PM,2:15:00 PM,7/22/2022 10:46:00,,7/21/2022 13:57:26,0.8670562731,
D192,33.3,20,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20083,RelaxMantle_15_129,7/22/2022,1:59:09 PM,2:15:00 PM,,,7/22/2022 13:59:09,,YES
D055,50.2,31.4,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20084,RelaxMantle_15_129,7/22/2022,2:00:46 PM,2:15:00 PM,,,7/22/2022 14:00:46,,
D129,33.8,22,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20085,RelaxMantle_15_129,7/21/2022,2:02:16 PM,2:15:00 PM,,,7/21/2022 14:02:16,,YES
D188,40.8,29.3,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20066,RelaxMantle_16_146,7/21/2022,1:36:25 PM,2:15:00 PM,,,7/21/2022 13:36:25,,
D121,37.9,29,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20067,RelaxMantle_16_146,7/21/2022,1:37:08 PM,2:15:00 PM,07/24/2022 9:58:00,,7/21/2022 13:37:08,2.847821586,
D158,47.2,31.1,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20069,RelaxMantle_16_146,7/21/2022,1:38:22 PM,2:15:00 PM,,,7/21/2022 13:38:22,,
